"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","1,967,559","±10,527","271,311","±3,313","2,817,723","±10,850","1,183,675","±7,882","13,429,063","±19,170","2,313,042","±8,099","1,428,313","±5,900","395,656","±4,126","319,565","±3,541","8,565,329","±25,039","4,001,109","±12,817","490,080","±5,054","693,882","±4,348","4,991,641","±12,428","2,680,694","±9,238","1,300,467","±6,514","1,159,026","±5,714","1,785,682","±8,799","1,783,924","±7,696","593,626","±5,251","2,355,652","±6,143","2,759,018","±9,086","4,051,798","±10,574","2,281,033","±6,734","1,129,611","±8,212","2,468,726","±10,224","448,949","±4,159","785,982","±4,212","1,191,380","±6,445","548,026","±4,691","3,497,945","±8,126","834,007","±4,770","7,652,666","±17,305","4,179,632","±15,192","322,511","±3,883","4,832,922","±10,937","1,547,967","±6,458","1,702,599","±8,524","5,228,956","±12,804","440,170","±4,169","2,049,972","±10,471","356,887","±3,371","2,770,395","±8,851","10,796,247","±19,104","1,101,499","±5,112","270,163","±3,018","3,331,461","±10,153","3,022,255","±9,423","722,201","±5,460","2,449,970","±6,685","242,763","±2,909","1,165,982","±9,161"
"    Utility gas","529,760","±10,190","136,638","±3,620","935,440","±11,508","435,082","±8,634","8,169,527","±31,513","1,527,676","±14,583","506,772","±9,128","168,200","±4,740","160,024","±5,821","445,824","±12,438","1,520,440","±17,831","17,009","±1,895","351,812","±7,430","3,761,429","±19,087","1,572,885","±13,037","784,679","±8,163","723,882","±9,000","625,504","±10,733","566,600","±10,012","47,952","±3,371","1,011,486","±12,439","1,411,895","±14,669","3,032,686","±15,341","1,476,671","±10,850","324,820","±7,911","1,222,614","±12,876","230,210","±5,337","463,653","±7,155","685,782","±9,489","121,966","±3,756","2,545,038","±14,274","503,034","±8,611","4,489,009","±24,328","1,023,374","±13,787","128,694","±5,065","3,084,907","±22,680","778,684","±8,301","643,252","±10,668","2,677,533","±19,920","232,445","±4,993","480,436","±10,326","164,735","±4,890","856,423","±12,539","3,652,862","±31,066","852,377","±7,983","50,677","±2,631","1,075,840","±12,043","1,012,119","±13,350","298,606","±7,580","1,582,718","±10,687","144,576","±5,155","1,015","±417"
"    Bottled, tank, or LP gas","109,278","±5,500","7,501","±1,524","79,939","±4,683","74,310","±4,466","464,435","±12,391","113,314","±5,418","80,721","±4,300","36,954","±2,952","3,540","±1,050","77,297","±5,038","175,473","±7,122","8,277","±1,443","37,945","±3,491","219,058","±6,332","193,852","±5,035","164,775","±4,766","93,447","±4,148","110,992","±4,943","36,442","±2,725","78,322","±4,234","86,483","±4,916","129,599","±6,161","354,530","±6,513","252,291","±6,261","117,851","±5,127","209,006","±6,390","56,861","±3,075","54,500","±2,624","34,288","±2,922","102,208","±4,683","87,258","±5,989","58,498","±3,870","388,311","±10,310","256,257","±8,921","45,366","±2,450","276,027","±7,090","97,912","±3,642","34,570","±2,986","267,454","±6,901","20,854","±2,313","70,935","±4,805","57,534","±2,732","100,182","±5,013","321,711","±10,772","27,747","±2,810","51,992","±2,695","145,015","±5,763","95,724","±4,950","36,595","±3,102","296,947","±6,057","26,413","±2,724","7,847","±1,107"
"    Electricity","1,299,491","±12,957","37,403","±3,031","1,687,012","±12,670","631,405","±10,251","3,990,075","±27,685","603,564","±12,998","258,306","±8,372","148,031","±5,772","142,056","±6,132","7,768,484","±26,404","2,248,691","±19,072","217,266","±6,010","243,686","±8,042","916,424","±17,226","825,801","±12,753","314,487","±7,559","315,630","±8,186","984,989","±10,989","1,161,457","±11,773","61,019","±3,637","1,022,596","±11,535","492,336","±12,276","479,147","±11,421","441,731","±9,282","665,707","±10,413","946,256","±13,061","120,719","±4,401","249,733","±6,772","431,200","±9,484","58,765","±3,977","555,363","±11,988","200,468","±6,568","1,118,015","±17,272","2,719,040","±18,967","132,493","±4,964","1,241,398","±17,306","631,634","±8,392","891,250","±11,505","1,287,322","±17,574","50,898","±3,958","1,455,325","±13,860","117,804","±4,334","1,753,656","±13,714","6,679,670","±31,828","198,288","±7,130","22,510","±2,129","1,905,058","±14,691","1,741,348","±13,875","326,799","±7,848","429,522","±7,688","57,846","±3,844","106,536","±4,527"
"    Fuel oil, kerosene, etc.","2,289","±735","72,709","±2,543","2,061","±858","1,473","±675","30,731","±2,733","2,167","±918","532,053","±10,356","34,587","±2,815","4,391","±1,176","9,779","±1,830","5,299","±1,264","220","±200","11,583","±1,728","6,562","±1,639","14,381","±2,236","5,271","±861","2,158","±958","12,262","±2,147","1,410","±902","345,133","±7,229","175,709","±6,498","649,036","±11,715","35,680","±2,403","29,376","±1,978","932","±444","4,722","±1,343","2,681","±561","2,557","±738","5,510","±1,105","218,724","±5,139","240,765","±7,200","2,257","±976","1,293,770","±17,396","91,569","±4,581","6,998","±1,097","92,792","±5,595","2,983","±699","22,455","±2,335","760,867","±12,449","127,202","±4,340","13,214","±2,655","4,833","±1,044","8,013","±1,817","10,027","±2,111","2,138","±961","105,005","±3,562","116,452","±5,706","44,429","±3,346","14,852","±1,816","36,529","±2,245","161","±213","194","±242"
"    Coal or coke","60","±96","582","±375","583","±451","0","±213","1,877","±745","640","±335","843","±371","353","±299","0","±236","1,004","±615","672","±518","194","±304","259","±254","760","±455","2,813","±888","320","±224","87","±122","1,776","±816","139","±179","1,255","±602","1,527","±582","1,320","±591","1,211","±448","372","±242","243","±353","411","±374","360","±226","30","±44","185","±200","847","±510","1,624","±825","345","±258","14,596","±1,816","632","±464","228","±101","2,782","±818","210","±199","580","±416","43,046","±2,785","338","±267","0","±226","173","±194","584","±578","2,502","±1,937","996","±430","226","±168","1,297","±649","555","±402","2,270","±890","945","±465","508","±361","145","±238"
"    Wood","13,644","±2,212","11,092","±1,297","45,318","±2,636","30,391","±2,725","170,065","±7,815","31,404","±2,629","22,992","±2,125","2,224","±736","0","±236","9,329","±1,946","21,725","±2,676","1,148","±495","40,497","±3,357","17,048","±1,930","45,859","±3,650","14,319","±1,588","12,093","±1,239","34,474","±2,769","6,549","±1,377","46,227","±2,935","19,674","±2,185","30,651","±2,855","89,594","±3,553","35,887","±1,928","9,482","±1,790","63,043","±3,390","29,979","±2,096","7,638","±1,176","12,410","±1,868","30,381","±2,674","9,820","±1,659","49,041","±3,198","108,202","±4,973","50,353","±3,471","1,234","±453","74,259","±4,243","20,873","±1,699","86,517","±4,761","109,832","±5,451","4,581","±1,049","10,490","±1,821","3,812","±951","32,907","±3,073","28,036","±3,789","8,173","±1,366","33,125","±2,151","53,547","±3,462","87,688","±4,822","37,047","±3,383","67,980","±2,249","9,586","±1,625","106","±176"
"    Solar energy","366","±319","132","±131","30,298","±2,910","575","±349","144,690","±7,247","12,121","±1,682","2,966","±960","688","±410","1,087","±454","32,438","±3,532","1,438","±634","21,790","±2,216","775","±379","3,134","±846","2,220","±816","1,084","±399","400","±274","352","±239","1,066","±569","1,374","±480","7,185","±1,463","5,807","±1,373","2,539","±1,424","976","±415","927","±933","2,735","±879","300","±210","88","±128","7,314","±1,402","890","±461","7,643","±1,547","5,578","±1,289","8,858","±1,536","3,992","±1,059","0","±170","1,477","±602","385","±209","1,824","±775","4,867","±1,123","482","±341","2,753","±945","16","±27","569","±535","21,399","±4,127","3,738","±869","1,349","±459","3,312","±924","4,167","±969","52","±89","1,613","±542","517","±471","6,454","±1,307"
"    Other fuel","1,411","±607","2,487","±746","7,915","±1,646","4,430","±1,533","43,531","±3,469","12,059","±1,764","14,306","±1,967","1,996","±758","2,396","±1,137","5,518","±1,408","4,723","±1,291","470","±388","4,873","±1,062","26,399","±2,897","11,096","±2,102","9,249","±1,407","6,076","±1,017","6,895","±1,417","1,234","±499","10,375","±1,284","13,195","±2,158","21,455","±2,602","33,236","±2,641","21,744","±2,288","1,333","±597","9,306","±1,501","5,973","±1,132","4,338","±805","5,698","±1,403","10,002","±1,684","19,506","±2,753","9,866","±2,108","98,952","±5,306","7,761","±1,516","4,649","±1,122","33,802","±2,773","9,727","±1,220","12,207","±1,883","46,436","±3,139","1,870","±779","3,887","±1,204","5,112","±982","3,999","±1,025","19,922","±3,025","4,325","±999","4,533","±893","9,742","±1,631","15,521","±2,195","3,718","±933","19,067","±2,081","2,204","±980","291","±378"
"    No fuel used","11,260","±1,826","2,767","±971","29,157","±2,710","6,009","±1,676","414,132","±11,328","10,097","±1,714","9,354","±2,045","2,623","±985","6,071","±1,453","215,656","±8,473","22,648","±2,876","223,706","±5,397","2,452","±829","40,827","±3,825","11,787","±2,097","6,283","±1,249","5,253","±1,530","8,438","±2,009","9,027","±1,835","1,969","±785","17,797","±2,309","16,919","±2,292","23,175","±2,356","21,985","±2,615","8,316","±2,053","10,633","±1,707","1,866","±838","3,445","±699","8,993","±1,820","4,243","±1,229","30,928","±3,248","4,920","±1,324","132,953","±7,141","26,654","±2,772","2,849","±915","25,478","±2,819","5,559","±997","9,944","±1,701","31,599","±3,416","1,500","±634","12,932","±2,142","2,868","±829","14,062","±2,050","60,118","±5,095","3,717","±1,179","746","±417","21,198","±2,803","20,704","±2,549","2,262","±609","14,649","±1,960","952","±457","1,043,394","±10,056"